"","cohort","Country","Sex","B0_50100","B0_50110","B1_50100","B1_50110","compression.one_50100","compression.one_50110","compression.twoThird_50100","compression.twoThird_50110","postponement.one_50100","postponement.one_50110","postponement.twoThird_50100","postponement.twoThird_50110"
"41",1911,"Australia","Male",-4.68417111636059,-4.68497925419039,0.0774031520122835,0.0774470406331336,0.800551095994013,0.8264620549316,0.766452955147756,0.791279412073251,0.444988478231384,0.409809648682923,0.479084428778943,0.444991020253998
"42",1912,"Australia","Male",-4.69774169857424,-4.69688617663542,0.0772768484263086,0.0772282578135098,0.582574336287738,0.626661910218239,0.557855917411736,0.600106175958288,0.484075675031082,0.440984721359399,0.50878926402596,0.467536939021084
"43",1913,"Australia","Male",-4.71054752001865,-4.7129468403544,0.0771956961772543,0.0773285491406797,0.595583307085732,0.637866194947179,0.570322862879632,0.610806325126159,0.471809102030761,0.42764931326678,0.497065195685913,0.454706069230923
"44",1914,"Australia","Male",-4.72190803473482,-4.72246239797053,0.0770708649363868,0.0770995529620365,0.826183275052692,0.834008342545467,0.790999886952932,0.7984857366651,0.45851411711811,0.452442978780855,0.493695467084027,0.487963721967098
"45",1915,"Australia","Male",-4.75186912468953,-4.75277687180391,0.077359797235827,0.0774006701152524,0.917561579415054,0.93946171402051,0.878258155826703,0.899224616544835,0.469361883591937,0.446346453524374,0.508663875734623,0.486582725516108
"46",1916,"Australia","Male",-4.78583867952664,-4.7842607576851,0.0776693898599598,0.0775660475998938,1.06190323006782,1.06811957514542,1.01607967523229,1.02207728951614,0.483776855364056,0.475295190210925,0.529599988838623,0.521337251019002
"47",1917,"Australia","Male",-4.813851689663,-4.81298511660665,0.0778403566807086,0.0777832374772546,1.18680323118304,1.17251126852406,1.13526603557885,1.12159895133478,0.516094833792,0.533683099830984,0.567632133368445,0.584595080326746
"48",1918,"Australia","Male",-4.83717950870228,-4.83418091954386,0.0778425425297031,0.077665326569079,1.26530251413943,1.26301159172649,1.21016578231009,1.20804102229262,0.541284925307448,0.549668015787269,0.596422017782302,0.604638753430045
"49",1919,"Australia","Male",-4.8596273818226,-4.85836137464559,0.0778138829211487,0.0777193276227884,1.43695358046216,1.43080689012514,1.37404243850617,1.36820313371201,0.554914202898487,0.562663354736337,0.617826876510591,0.625268441315498
"50",1920,"Australia","Male",-4.86522636194694,-4.86297183421352,0.0774100472249986,0.0772629228314547,1.45808225876971,1.44634484796112,1.39426811655442,1.38310430119283,0.611980037390946,0.625729756303972,0.675794868505356,0.688970654359064
